Date,Content type,Views,Subscribers gained
2015-11-19,Other,3,0
2015-11-20,Other,7,0
2015-11-21,Other,8,0
2015-11-22,Other,8,0
2015-11-23,Other,3,0
2015-11-24,Other,1,0
2015-11-25,Other,0,0
2015-11-26,Other,5,0
2015-11-27,Other,1,0
2015-11-28,Other,2,0
2015-11-29,Other,0,0
2015-11-30,Other,1,0
2015-12-01,Other,1,0
2015-12-02,Other,0,0
2015-12-03,Other,2,0
2015-12-04,Other,10,0
2015-12-05,Other,6,0
2015-12-06,Other,4,0
2015-12-07,Other,3,0
2015-12-08,Other,16,0
2015-12-09,Other,15,0
2015-12-10,Other,11,0
2015-12-11,Other,4,0
2015-12-12,Other,5,0
2015-12-13,Other,4,0
2015-12-14,Other,3,0
2015-12-15,Other,6,0
2015-12-16,Other,5,0
2015-12-17,Other,2,0
2015-12-18,Other,5,0
2015-12-19,Other,7,0
2015-12-20,Other,2,0
2015-12-21,Other,4,0
2015-12-22,Other,1,0
2015-12-23,Other,0,0
2015-12-24,Other,0,0
2015-12-25,Other,3,0
2015-12-26,Other,5,0
2015-12-27,Other,3,0
2015-12-28,Other,3,0
2015-12-29,Other,2,0
2015-12-30,Other,0,0
2015-12-31,Other,0,0
2016-01-01,Other,4,0
2016-01-02,Other,2,0
2016-01-03,Other,1,0
2016-01-04,Other,2,0
2016-01-05,Other,1,0
2016-01-06,Other,12,0
2016-01-07,Other,1,0
2016-01-08,Other,1,0
2016-01-09,Other,5,0
2016-01-10,Other,5,1
2016-01-11,Other,2,0
2016-01-12,Other,4,1
2016-01-13,Other,3,0
2016-01-14,Other,2,0
2016-01-15,Other,5,0
2016-01-16,Other,5,0
2016-01-17,Other,3,0
2016-01-18,Other,3,0
2016-01-19,Other,2,0
2016-01-20,Other,0,0
2016-01-21,Other,5,0
2016-01-22,Other,2,0
2016-01-23,Other,6,0
2016-01-24,Other,4,0
2016-01-25,Other,2,0
2016-01-26,Other,1,0
2016-01-27,Other,2,0
2016-01-28,Other,0,0
2016-01-29,Other,3,0
2016-01-30,Other,8,0
2016-01-31,Other,5,0
2016-02-01,Other,16,0
2016-02-02,Other,6,1
2016-02-03,Other,4,0
2016-02-04,Other,3,0
2016-02-05,Other,6,0
2016-02-06,Other,6,0
2016-02-07,Other,1,0
2016-02-08,Other,1,0
2016-02-09,Other,4,0
2016-02-10,Other,1,0
2016-02-11,Other,1,0
2016-02-12,Other,0,0
2016-02-13,Other,3,0
2016-02-14,Other,4,0
2016-02-15,Other,12,0
2016-02-16,Other,3,1
2016-02-17,Other,2,0
2016-02-18,Other,4,0
2016-02-19,Other,16,1
2016-02-20,Other,12,0
2016-02-21,Other,8,0
2016-02-22,Other,1,0
2016-02-23,Other,0,0
2016-02-24,Other,0,0
2016-02-25,Other,2,1
2016-02-26,Other,1,0
2016-02-27,Other,5,0
2016-02-28,Other,3,0
2016-02-29,Other,4,0
2016-03-01,Other,7,0
2016-03-02,Other,1,0
2016-03-03,Other,1,0
2016-03-04,Other,3,0
2016-03-05,Other,1,0
2016-03-06,Other,5,0
2016-03-07,Other,13,2
2016-03-08,Other,3,1
2016-03-09,Other,12,0
2016-03-10,Other,1,0
2016-03-11,Other,3,1
2016-03-12,Other,8,0
2016-03-13,Other,7,0
2016-03-14,Other,36,7
2016-03-15,Other,15,2
2016-03-16,Other,9,0
2016-03-17,Other,4,6
2016-03-18,Other,4,0
2016-03-19,Other,5,0
2016-03-20,Other,0,0
2016-03-21,Other,13,0
2016-03-22,Other,6,0
2016-03-23,Other,7,0
2016-03-24,Other,3,1
2016-03-25,Other,5,0
2016-03-26,Other,1,0
2016-03-27,Other,7,1
2016-03-28,Other,6,0
2016-03-29,Other,0,0
2016-03-30,Other,2,0
2016-03-31,Other,5,0
2016-04-01,Other,7,0
2016-04-02,Other,2,1
2016-04-03,Other,4,0
2016-04-04,Other,1,1
2016-04-05,Other,21,0
2016-04-06,Other,15,0
2016-04-07,Other,4,1
2016-04-08,Other,9,0
2016-04-09,Other,3,0
2016-04-10,Other,4,0
2016-04-11,Other,0,0
2016-04-12,Other,4,0
2016-04-13,Other,0,0
2016-04-14,Other,3,0
2016-04-15,Other,1,0
2016-04-16,Other,9,0
2016-04-17,Other,7,0
2016-04-18,Other,8,0
2016-04-19,Other,1,0
2016-04-20,Other,2,0
2016-04-21,Other,31,0
2016-04-22,Other,13,0
2016-04-23,Other,9,0
2016-04-24,Other,1,0
2016-04-25,Other,6,0
2016-04-26,Other,0,0
2016-04-27,Other,4,0
2016-04-28,Other,135,0
2016-04-29,Other,13,0
2016-04-30,Other,2,0
2016-05-01,Other,7,0
2016-05-02,Other,9,0
2016-05-03,Other,4,1
2016-05-04,Other,4,1
2016-05-05,Other,3,0
2016-05-06,Other,2,0
2016-05-07,Other,8,0
2016-05-08,Other,2,0
2016-05-09,Other,8,1
2016-05-10,Other,38,0
2016-05-11,Other,6,0
2016-05-12,Other,3,0
2016-05-13,Other,4,0
2016-05-14,Other,5,0
2016-05-15,Other,2,0
2016-05-16,Other,2,0
2016-05-17,Other,9,0
2016-05-18,Other,11,0
2016-05-19,Other,3,0
2016-05-20,Other,2,0
2016-05-21,Other,6,0
2016-05-22,Other,7,0
2016-05-23,Other,4,0
2016-05-24,Other,7,0
2016-05-25,Other,3,0
2016-05-26,Other,1,0
2016-05-27,Other,5,1
2016-05-28,Other,5,0
2016-05-29,Other,2,0
2016-05-30,Other,7,0
2016-05-31,Other,4,0
2016-06-01,Other,4,0
